Nom,Catégorie,Jour_type,Durée_minutes,Complexité,Adapté_bébé,Ingrédients
Poulet rôti aux légumes,Viandes,Weekend,90,Élaborée,true,"Poulet entier 1,5kg; Carottes 4 pcs; Pommes de terre 6 pcs; Oignons 2 pcs; Ail 4 gousses; Huile d'olive 3 cs; Thym 2 branches; Romarin 1 branche"
Pâtes à la bolognaise,Pâtes & Riz,Semaine,30,Facile,true,"Pâtes 400g; Bœuf haché 300g; Tomates concassées 400g; Oignon 1 pc; Ail 2 gousses; Huile d'olive 2 cs; Gruyère râpé 80g"
Saumon vapeur et brocoli,Poissons,Semaine,25,Facile,true,"Pavés de saumon 2 pcs; Brocoli 1 tête; Pommes de terre 4 pcs; Citron 1 pc; Huile d'olive 1 cs"
Gratin de courgettes,Végétarien,Semaine,40,Facile,true,"Courgettes 4 pcs; Crème fraîche 200g; Gruyère râpé 100g; Œufs 2 pcs; Ail 1 gousse"
Soupe de légumes maison,Soupe,Semaine,30,Facile,true,"Carottes 4 pcs; Poireaux 2 pcs; Pommes de terre 3 pcs; Navets 2 pcs; Bouillon cube légumes 1 pc; Eau 1,5L"
Quiche lorraine,Viandes,Weekend,50,Moyenne,true,"Pâte brisée 1 rouleau; Lardons 200g; Crème fraîche 200g; Œufs 3 pcs; Gruyère râpé 80g; Noix de muscade"
Poulet basquaise,Viandes,Weekend,60,Élaborée,true,"Cuisses de poulet 4 pcs; Poivrons 3 pcs; Tomates 4 pcs; Oignon 1 pc; Ail 3 gousses; Laurier 2 feuilles"
Riz sauté aux légumes,Pâtes & Riz,Semaine,20,Facile,true,"Riz cuit 300g; Carottes 2 pcs; Petits pois surgelés 150g; Œufs 2 pcs; Sauce soja 2 cs; Huile 1 cs"
Galettes de légumes,Végétarien,Semaine,25,Facile,true,"Courgettes 2 pcs; Carottes 2 pcs; Œufs 2 pcs; Farine 3 cs; Gruyère râpé 50g; Persil"
Filet de cabillaud sauce tomate,Poissons,Semaine,25,Facile,true,"Filets de cabillaud 2 pcs; Tomates concassées 400g; Oignon 1 pc; Ail 2 gousses; Herbes de Provence"
Hachis parmentier,Viandes,Weekend,50,Moyenne,true,"Bœuf haché 400g; Pommes de terre 800g; Beurre 50g; Lait 100ml; Gruyère râpé 80g; Oignon 1 pc; Ail 2 gousses"
Tarte aux légumes,Végétarien,Weekend,45,Moyenne,true,"Pâte brisée 1 rouleau; Courgettes 2 pcs; Tomates 3 pcs; Chèvre frais 100g; Œufs 2 pcs; Crème 100ml; Herbes de Provence"
Lentilles aux carottes,Végétarien,Semaine,30,Facile,true,"Lentilles vertes 250g; Carottes 3 pcs; Oignon 1 pc; Ail 2 gousses; Bouillon cube légumes 1 pc; Cumin 1/2 cc; Laurier"
Filet de dinde poêlé et haricots verts,Viandes,Semaine,20,Facile,true,"Filets de dinde 2 pcs; Haricots verts 300g; Beurre 20g; Ail 1 gousse; Jus de citron"
Gratin dauphinois,Végétarien,Weekend,75,Élaborée,true,"Pommes de terre 1kg; Crème entière 400ml; Lait 200ml; Ail 2 gousses; Noix de muscade; Gruyère râpé 100g"
Purée de patates douces et poulet,Viandes,Semaine,30,Facile,true,"Patates douces 600g; Blancs de poulet 2 pcs; Beurre 30g; Lait 100ml; Oignon 1 pc"
Œufs cocotte aux légumes,Végétarien,Semaine,20,Facile,true,"Œufs 4 pcs; Épinards frais 150g; Crème fraîche 4 cs; Gruyère râpé 40g; Beurre 10g"
Poêlée de gnocchis aux tomates,Pâtes & Riz,Semaine,20,Facile,true,"Gnocchis 500g; Tomates cerises 250g; Mozzarella 125g; Basilic frais; Huile d'olive 2 cs; Ail 1 gousse"
Dos de cabillaud et écrasé de pommes de terre,Poissons,Weekend,35,Moyenne,true,"Filets de cabillaud 3 pcs; Pommes de terre 600g; Beurre 40g; Lait 100ml; Persil; Citron 1 pc"
Boulettes de viande sauce tomate,Viandes,Semaine,35,Facile,true,"Bœuf haché 400g; Chapelure 50g; Œuf 1 pc; Ail 1 gousse; Tomates concassées 400g; Oignon 1 pc; Basilic"
Velouté de carottes au lait de coco,Soupe,Semaine,25,Facile,true,"Carottes 600g; Lait de coco 200ml; Oignon 1 pc; Gingembre frais 1 cm; Bouillon cube légumes 1 pc; Eau 800ml"
Risotto aux champignons,Pâtes & Riz,Weekend,40,Moyenne,true,"Riz arborio 300g; Champignons 250g; Parmesan 60g; Oignon 1 pc; Bouillon cube légumes 1L; Beurre 30g; Vin blanc 100ml"
Pavé de saumon en papillote,Poissons,Weekend,30,Facile,true,"Pavés de saumon 2 pcs; Courgettes 1 pc; Tomates cerises 150g; Citron 1 pc; Huile d'olive 2 cs; Thym"
Poêlée de légumes et œufs brouillés,Végétarien,Semaine,15,Facile,true,"Œufs 4 pcs; Poivrons 1 pc; Courgette 1 pc; Oignon 1/2 pc; Beurre 20g; Herbes de Provence"
Blanquette de veau simplifiée,Viandes,Weekend,70,Élaborée,true,"Veau à blanquette 600g; Carottes 3 pcs; Champignons 200g; Oignon 1 pc; Crème fraîche 200ml; Farine 2 cs; Beurre 30g; Bouillon cube"
